AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
65+,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,7
25-34,Unknown,25-34K,Unknown,2 Adults Kids,3,1,8
25-34,Unknown,75-99K,Homeowner,2 Adults Kids,4,2,13
45-54,B,50-74K,Homeowner,Single Female,1,Unknown,16
65+,B,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,17
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,Unknown,18
35-44,B,15-24K,Unknown,Single Female,1,Unknown,19
25-34,A,75-99K,Renter,2 Adults No Kids,2,Unknown,20
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,22
35-44,Unknown,50-74K,Unknown,Unknown,1,Unknown,25
45-54,Unknown,25-34K,Probable Renter,Single Female,1,Unknown,27
35-44,B,35-49K,Homeowner,2 Adults No Kids,2,Unknown,31
35-44,A,125-149K,Homeowner,2 Adults No Kids,2,Unknown,39
45-54,Unknown,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,40
65+,Unknown,50-74K,Unknown,Single Male,1,Unknown,42
35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+,43
45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+,46
19-24,Unknown,35-49K,Homeowner,2 Adults No Kids,2,Unknown,48
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,49
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,Unknown,52
65+,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,55
55-64,A,100-124K,Homeowner,2 Adults Kids,4,2,56
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,Unknown,57
25-34,A,150-174K,Homeowner,2 Adults Kids,4,2,58
45-54,A,Under 15K,Homeowner,2 Adults Kids,5+,3+,67
35-44,A,25-34K,Homeowner,Single Female,2,Unknown,71
65+,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,74
35-44,A,100-124K,Homeowner,2 Adults Kids,5+,3+,77
55-64,Unknown,25-34K,Unknown,Single Male,1,Unknown,78
45-54,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,80
25-34,Unknown,35-49K,Unknown,Single Male,1,Unknown,85
65+,B,35-49K,Homeowner,Single Male,1,Unknown,86
45-54,Unknown,75-99K,Unknown,Single Female,1,Unknown,97
35-44,Unknown,35-49K,Unknown,1 Adult Kids,2,1,98
45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2,101
35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,104
25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2,105
25-34,A,15-24K,Homeowner,Single Female,2,Unknown,109
25-34,Unknown,35-49K,Homeowner,Single Female,1,Unknown,110
35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,113
25-34,Unknown,35-49K,Homeowner,2 Adults No Kids,2,Unknown,114
65+,B,35-49K,Probable Owner,2 Adults No Kids,2,Unknown,117
45-54,B,35-49K,Homeowner,Single Female,1,Unknown,118
45-54,Unknown,125-149K,Unknown,Single Male,1,Unknown,119
45-54,Unknown,25-34K,Unknown,2 Adults Kids,3,1,121
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,Unknown,123
45-54,Unknown,25-34K,Unknown,Single Female,1,Unknown,127
45-54,Unknown,50-74K,Unknown,2 Adults No Kids,2,Unknown,131
45-54,A,Under 15K,Homeowner,Single Male,2,Unknown,133
55-64,A,25-34K,Homeowner,Single Female,2,Unknown,134
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,136
35-44,B,75-99K,Homeowner,Single Male,1,Unknown,139
45-54,Unknown,35-49K,Homeowner,2 Adults No Kids,2,Unknown,149
35-44,B,50-74K,Homeowner,2 Adults Kids,3,1,155
19-24,Unknown,15-24K,Homeowner,2 Adults No Kids,2,Unknown,157
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,158
45-54,Unknown,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,159
19-24,A,75-99K,Unknown,2 Adults Kids,3,1,161
45-54,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,164
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,165
25-34,A,50-74K,Homeowner,2 Adults Kids,3,1,166
25-34,A,100-124K,Homeowner,2 Adults Kids,4,2,170
25-34,A,25-34K,Homeowner,1 Adult Kids,5+,3+,178
45-54,Unknown,25-34K,Unknown,Single Male,1,Unknown,184
45-54,A,35-49K,Homeowner,Single Male,2,Unknown,192
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,193
35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1,198
45-54,A,15-24K,Homeowner,2 Adults Kids,5+,3+,201
45-54,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,208
45-54,Unknown,25-34K,Homeowner,2 Adults Kids,3,1,209
65+,A,35-49K,Homeowner,Single Female,2,Unknown,211
35-44,Unknown,Under 15K,Unknown,Single Female,1,Unknown,212
55-64,B,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,214
35-44,Unknown,50-74K,Homeowner,Unknown,1,Unknown,216
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,218
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,Unknown,219
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,220
65+,Unknown,15-24K,Unknown,Unknown,1,Unknown,221
35-44,A,35-49K,Unknown,2 Adults No Kids,2,Unknown,222
25-34,Unknown,25-34K,Unknown,Single Female,1,Unknown,230
35-44,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,232
35-44,A,250K+,Homeowner,2 Adults Kids,5+,3+,235
45-54,Unknown,50-74K,Renter,Unknown,1,Unknown,239
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,242
65+,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,243
